,cluster_label,host_since_low,host_acceptance_rate_low,host_response_rate_low,review_scores_value_low,review_scores_cleanliness_low,review_scores_accuracy_low,review_scores_communication_low,review_scores_rating_low,review_scores_location_low,review_scores_checkin_low,num_nearby_attractions_low,maximum_nights_low,beds_low,accommodates_low,num_crimes_low,host_response_time_low,availability_30_low,price_low,minimum_nights_low,num_bookings_low,host_is_superhost_low,host_has_profile_pic_low,host_identity_verified_low,instant_bookable_low,room_type_low,host_since_high,host_acceptance_rate_high,host_response_rate_high,review_scores_value_high,review_scores_cleanliness_high,review_scores_accuracy_high,review_scores_communication_high,review_scores_rating_high,review_scores_location_high,review_scores_checkin_high,num_nearby_attractions_high,maximum_nights_high,beds_high,accommodates_high,num_crimes_high,host_response_time_high,availability_30_high,price_high,minimum_nights_high,num_bookings_high,host_is_superhost_high,host_has_profile_pic_high,host_identity_verified_high,instant_bookable_high,room_type_high
10,10,79.79616306954436,0.6340127897681854,0.6523661071143085,4.531310951239009,4.5738129496402875,4.673101518784971,4.706466826538768,4.632629896083134,4.626890487609912,4.726131095123901,9.960031974420463,590.1630695443645,1.785771382893685,3.2717825739408473,14183.655475619504,4.656274980015987,13.665867306155075,148.27977617905677,27.397282174260592,2.9072741806554756,0.0,1.0,1.0,0.0,1.0,102.9609507640068,0.6631494057724958,0.6875297113752123,4.709235993208829,4.7472241086587434,4.815050933786079,4.869235993208829,4.776281833616299,4.7746774193548385,4.852334465195246,9.591680814940577,570.8548387096774,1.866723259762309,3.462648556876061,13048.338709677419,4.928692699490663,12.614601018675721,168.03904923599322,22.21816638370119,81.38285229202037,0.0,1.0,1.0,0.0,1.0
11,11,64.37671232876713,0.8072602739726027,0.8214041095890411,4.701369863013699,4.741986301369863,4.767020547945204,4.838835616438356,4.756164383561645,4.798767123287672,4.847363013698629,0.821917808219178,404.9931506849315,1.9554794520547945,3.517123287671233,0.0,3.202054794520548,12.39041095890411,107.73972602739725,9.45890410958904,6.832191780821918,0.0,1.0,1.0,0.0,2.0,68.21631205673759,0.9206028368794327,0.9264184397163121,4.775035460992908,4.7859219858156035,4.8384042553191495,4.881914893617021,4.798758865248227,4.799113475177305,4.906312056737589,1.1063829787234043,454.08156028368796,2.4893617021276597,4.326241134751773,0.0,1.3191489361702127,10.407801418439716,126.81914893617021,3.8085106382978724,75.87234042553192,1.0,1.0,1.0,0.0,1.0
12,12,78.26241134751773,0.7307801418439716,0.7577304964539008,4.777446808510638,4.835177304964539,4.815035460992909,4.883758865248227,4.815248226950355,4.845886524822695,4.864184397163121,0.8368794326241135,469.9645390070922,2.773049645390071,4.794326241134752,2.2907801418439715,7.113475177304965,14.297872340425531,230.70212765957447,9.085106382978724,5.24113475177305,0.0,1.0,1.0,0.0,1.0,78.03007518796993,0.8176691729323309,0.8303007518796992,4.829699248120301,4.880676691729324,4.894586466165413,4.940827067669172,4.8790977443609025,4.9016541353383465,4.924135338345866,0.8947368421052632,401.8045112781955,2.293233082706767,3.9849624060150375,5.398496240601504,3.3157894736842106,11.18796992481203,178.2781954887218,3.5338345864661656,77.21052631578948,1.0,1.0,1.0,0.0,1.0
13,13,54.58301158301158,0.7728571428571428,0.8212741312741313,4.325173745173745,4.353243243243243,4.365289575289576,4.552779922779923,4.382586872586873,4.165984555984556,4.508146718146719,0.9111969111969112,392.4015444015444,1.776061776061776,3.2548262548262548,7750.976833976834,4.594594594594595,15.424710424710424,117.87258687258688,10.007722007722007,4.181467181467181,0.0,1.0,1.0,0.0,1.0,70.35521235521236,0.9043243243243243,0.9331660231660232,4.681312741312741,4.664787644787645,4.747258687258687,4.816254826254825,4.716100386100386,4.517528957528957,4.7886872586872595,0.9266409266409267,396.9073359073359,1.9961389961389961,3.5907335907335907,5062.2277992278,2.38996138996139,15.347490347490348,116.91505791505791,4.308880308880309,57.38610038610039,0.0,1.0,1.0,0.0,1.0
14,14,90.15436241610739,0.71248322147651,0.7671812080536913,4.7499328859060395,4.829865771812081,4.836644295302014,4.873020134228188,4.8332885906040275,4.914295302013423,4.892953020134228,1.2483221476510067,485.4496644295302,3.3422818791946307,5.946308724832215,0.0,4.899328859060403,14.503355704697986,770.7583892617449,12.221476510067115,8.181208053691275,0.0,1.0,1.0,0.0,1.0,98.97972972972973,0.8533783783783785,0.8650675675675675,4.768581081081081,4.8585810810810806,4.877027027027028,4.929594594594594,4.877094594594595,4.9200675675675685,4.93722972972973,1.337837837837838,463.6689189189189,2.72972972972973,4.905405405405405,0.0,2.8716216216216215,13.432432432432432,497.75,3.385135135135135,128.76351351351352,1.0,1.0,1.0,0.0,1.0
15,15,67.11673151750973,0.8292088197146562,0.8293255512321661,4.671634241245136,4.7156420233463034,4.748015564202334,4.828936446173801,4.724461738002595,4.75101167315175,4.806640726329443,1.469520103761349,436.98443579766536,2.3346303501945527,4.232166018158236,685.1037613488976,2.53177691309987,13.98443579766537,160.3709468223087,7.54863813229572,9.158236057068741,0.0,1.0,1.0,0.0,1.0,73.90144546649145,0.919185282522996,0.9221419185282523,4.7686596583442835,4.776307490144546,4.837936925098554,4.891550591327201,4.800026281208936,4.763561103810775,4.900275952693823,1.4415243101182655,448.31668856767413,2.293035479632063,4.207621550591327,650.0762155059133,1.592641261498029,11.098554533508542,129.6544021024967,3.574244415243101,104.67805519053877,1.0,1.0,1.0,0.0,1.0
16,16,63.961187214611876,0.6903881278538813,0.699634703196347,4.611735159817352,4.587945205479452,4.677237442922375,4.753881278538812,4.656027397260274,4.742671232876712,4.792785388127854,0.8767123287671232,485.26027397260276,2.036529680365297,3.646118721461187,0.0,2.3515981735159817,12.228310502283104,115.21917808219177,10.657534246575343,4.8561643835616435,0.0,1.0,1.0,0.0,2.0,67.8723897911833,0.856844547563805,0.8497911832946635,4.735962877030162,4.670371229698376,4.775870069605568,4.835962877030163,4.736218097447796,4.808259860788864,4.8755220417633405,0.8631090487238979,483.8352668213457,2.6612529002320184,4.689095127610209,0.0,1.8190255220417633,10.948955916473318,128.13689095127611,7.215777262180975,56.60092807424594,0.0,1.0,1.0,0.0,2.0
17,17,80.9993556701031,0.6642783505154639,0.7158247422680413,4.5430476804123705,4.574884020618557,4.666237113402062,4.7437822164948455,4.636076030927835,4.734929123711341,4.753279639175258,12.193298969072165,557.3711340206186,1.9948453608247423,3.7847938144329896,14514.130798969072,4.063144329896907,13.084407216494846,237.96585051546393,23.3125,3.9587628865979383,0.0,1.0,1.0,0.0,1.0,92.7786941580756,0.7632646048109967,0.7995463917525772,4.711553264604811,4.751718213058419,4.8168865979381446,4.883367697594502,4.7834020618556705,4.833264604810997,4.865683848797251,11.717525773195876,557.6611683848797,2.169759450171821,4.134707903780069,14218.519587628865,3.8845360824742268,13.180756013745704,230.48247422680413,17.68659793814433,72.22199312714777,0.0,1.0,1.0,0.0,1.0
18,18,94.43505903723887,0.6725068119891009,0.7121707538601272,4.658147138964577,4.730635785649409,4.783814713896457,4.844050862851952,4.780454132606722,4.866848319709355,4.82496821071753,8.083560399636694,511.26430517711174,2.1662125340599454,4.013623978201635,5876.538601271572,4.663033605812897,12.752043596730244,287.93278837420524,22.51952770208901,5.938237965485922,0.0,1.0,1.0,0.0,1.0,107.85511363636364,0.758219696969697,0.7853977272727274,4.702916666666667,4.792054924242424,4.842982954545454,4.883285984848484,4.810397727272728,4.887026515151516,4.876496212121212,8.642045454545455,529.5179924242424,2.1676136363636362,3.902462121212121,6075.806818181818,4.6856060606060606,13.053977272727273,249.97348484848484,18.71969696969697,116.12026515151516,1.0,1.0,1.0,0.0,1.0
19,19,68.88235294117646,0.8570588235294118,0.8823529411764706,4.845882352941176,4.9005882352941175,4.879411764705883,4.923529411764706,4.894117647058824,4.875882352941177,4.858235294117647,0.11764705882352941,471.8235294117647,5.647058823529412,6.0,0.0,3.0,19.058823529411764,271.52941176470586,1.7647058823529411,4.411764705882353,0.0,1.0,1.0,0.0,1.0,97.11764705882354,0.723529411764706,0.8629411764705882,4.816470588235295,4.772941176470589,4.837647058823529,4.8994117647058815,4.8217647058823525,4.7952941176470585,4.878823529411765,0.17647058823529413,243.7058823529412,1.5294117647058822,3.823529411764706,0.0,2.9411764705882355,16.176470588235293,118.11764705882354,1.411764705882353,75.11764705882354,0.0,1.0,1.0,0.0,1.0
